id,学科,知识点,置信度,问题字段,字段原文,问题描述,修正内容,验收结果
YY_WY_G1_B3_U3_004,英语,含复合宾语的被动语态,40,prerequisites,YY_WY_G1_B3_U4_001,prerequisites 引用“YY_WY_G1_B3_U4_001”与本条无关：本条在 Unit 3，引用的却是 Unit 4（Amazing Art）的知识点，明显硬凑/错误,,
YY_WY_G1_B3_U6_001,英语,现在分词表伴随动作,40,example,"[仿题]She left ___ a smile.
解析：伴随微笑离开填with。",example “She left ___ a smile”解析填 with，但知识点讲的是现在分词作伴随状语，答案却是介词 with，与本条知识点完全不符,,
WL_G1_B3_DNNL_018,物理,多用电表欧姆挡原理,40,example,[仿题]欧姆挡指针越靠右刻度数值如何？解析：靠右电流小、电阻大，刻度从左到右增大。解析完毕。,example 解析错误：'靠右电流小、电阻大，刻度从左到右增大'与欧姆表实际刻度方向相反,,
WL_G1_B5_DCGY_020,物理,导体棒运动的收尾速度,40,乱码,[仿题]恒力F拉棒最终匀速。解析：令F=B²L²v/R得收尾速度，Anonym平衡求解。,"example 含乱码（""Anonym""为未替换占位符）",,
LS_G1_B1_MQ_004,历史,明朝对边疆的治理,45,example,[仿题]明朝为加强边疆治理采取了哪些方式？解析：设奴儿干都司、乌思藏宣慰司等机构，兼用册封与互市等方式。,example 解析沿用错误的“乌思藏宣慰司”，与题目知识点不符,,
LS_G1_B1_MQ_010,历史,清朝对西藏的管辖,45,乱码,把驻藏大臣误说成由西藏地方自行推举产生；混淆设驻藏大臣与金瓶掣签两个政的帝王阶段；误以为清朝对西藏只是名义册封而无实际管理；把册封达赖班禅错说成由驻藏大臣自主钦定即可,typical_errors “混淆设驻藏大臣与金瓶掣签两个政的帝王阶段”中“两个政”为错字，应为“两个政策/制度”,,
YY_WY_G1_B1_U4_010,英语,表达支持与陪伴的动词,45,typical_errors,表达支持误把 support 当作形容词而当名词句型使用；陪伴 accompany 误拼成 company 混淆词串；鼓励 encourage 后误接 to do 并用错补足结构,typical_errors 第3条“鼓励 encourage 后误接 to do 并用错补足结构”是知识性错误：encourage sb to do sth 本来就是正确搭配，把正确用法当成错误,,
YY_WY_G1_B3_U4_011,英语,艺术评论主观句式,45,typical_errors,把in my view误写成in my opinion混搭使用；I think后直接加because造成句子冗余；把to me位置放错，干扰句子主干,typical_errors 第1条“把in my view误写成in my opinion混搭使用”是知识性错误：in my opinion 本身是正确的常用表达，不该当错误,,
YY_WY_G1_B3_U6_004,英语,现在分词作原因状语,45,example,"[仿题]___ about it, she called me.
解析：因为担心填Worried。","example “___ about it, she called me”解析填 Worried（过去分词），但本条讲的是现在分词作原因状语，分词形式用反",,
YY_WY_G1_B5_U5_005,英语,there be句型的主谓一致,45,example,"[仿题]There ___ mangoes and an apple on the table.
解析：最近名词是 apple 单数，故选 is。",example “There ___ mangoes and an apple”中紧挨空格的最近名词是 mangoes（复数），应填 are，但解析称“最近名词是 apple 单数故选 is”，主谓一致讲错,,
WL_G1_B3_DNNL_006,物理,非纯电阻电路与电动机,45,example,[仿题]电动机U=48V、I=2A、R=4Ω，求输出机械功率。解析：P出=UI-I2R=64W。解析完毕。,example 计算错误：P出=UI-I²R=48×2-4×4=80W，解析误写为64W,,
WL_G1_B5_DCGY_003,物理,磁通量的概念,45,example,[仿题]面积S的线圈与匀强磁场成30度角。解析：磁通量Φ=BSsin60°，代入即可得结果。,example 解析知识性错误（30°角应取sin30°而非sin60°）,,
HX_G1_B3_DN_009,化学,金属的防护,48,example,"[仿题]牺牲阳极保护法中船体应作什么极？
解析：被保护金属作负极被保护（作阴极），锌块作阳极。",example 解析有知识性错误：把被保护金属（船体）写成'负极'，又与括号里的'阴极'自相矛盾，牺牲阳极保护法中被保护金属应作正极（阴极）,,
YY_WY_G1_B3_U2_003,英语,过去虚拟的委婉假设反思,50,example,"[仿题]若早点行动损失会小些。
解析：If we had acted earlier, damage would be smaller，表委婉反思。","example “If we had acted earlier, damage would be smaller”主句时态错误：与过去事实相反的虚拟，主句应为 would have been smaller",,
WL_G1_B5_APLL_013,物理,圆周运动轨迹半径,50,typical_errors,由向心力列式时漏乘速度导致半径公式推错；把r=qvB/m洛化变形为r正比于B；误认为半径与粒子速度无关只由磁场决定；代入比荷时把电荷量与质量位置搞反,typical_errors 公式错误（r=qvB/m 应为 mv/qB）,,
WL_G1_B5_APLL_013,物理,圆周运动轨迹半径,50,乱码,由向心力列式时漏乘速度导致半径公式推错；把r=qvB/m洛化变形为r正比于B；误认为半径与粒子速度无关只由磁场决定；代入比荷时把电荷量与质量位置搞反,"typical_errors 语句不通（""洛化变形""）",,
YY_WY_G1_B4_U3_006,英语,独立主格逻辑主谓关系,55,example,"[仿题]Her arms ____, she waved.
解析：手臂举起主动填raised。","example “Her arms ____, she waved”解析称“手臂举起主动填 raised”，但 raised 是过去分词表被动（手臂被举起），主被动判断错误",,
SX_A_G1_B2_LTJH_004,数学,用斜二测画法画直观图,55,typical_errors,画斜二测时把竖方向的长度也减半，实际只有横轴方向取半；忘记把坐标系纵轴化成45°，直接沿用90°直角坐标系来画；还原直观图求原图长度时方向取反，把已减半的看成增长后的,typical_errors 有知识性错误：实际只有横轴方向取半，应为纵轴(y轴)取半,,
WL_G1_B5_DCGY_002,物理,产生感应电流的条件,55,example,[仿题]闭合导线框在匀强磁场中匀速平动穿过磁场。解析：框中磁通量先增后减，故选D产生感应电流。,"example 题干不完整（解析引用""选D""但题干无选项）",,
YY_WY_G1_B3_U2_008,英语,过去完成时的公益回顾,60,example,"[仿题]就绪后才实施计划。
解析：After we had prepared, we carried out it，先发生用 had done。",example “we carried out it”语序错误，应为 carried it out（代词应放短语中间）,,
YY_WY_G1_B6_U1_011,英语,as if从句的虚拟语气,60,example,"[仿题]She spoke as if she ___ the truth.
解析：假想不知情，用过去完成式，填 had known。",example “She spoke as if she ___ the truth”解析“假想不知情，用过去完成式填 had known”，但 as if + had known 表示她像知道真相，与“不知情”语义相反,,
YY_WY_G1_B6_U6_006,英语,并列句中的省略规则,60,example,"[仿题]She sings well and I (do) too.
解析：后半省略 plays 之类的重复部分。",example “She sings well and I (do) too”解析“后半省略 plays 之类的重复部分”错误，应省略的是 sing/do，而非 plays,,
WL_G1_B4_JXB_001,物理,机械波的形成与传播,60,乱码,误以为波传播时介质质点随波一起向前迁移，画出整体平移的图示；忽略机械波形成必须依赖介质，误认为波源振动可直接在真空中传播；把波动与质点运动混淆，认为每个质点都随何时运作波路径前进；漏判断波源是否持续振动，把单个随机扰动也当成稳定机械波,"typical_errors 语句不通顺（""随何时运作波路径前进""）",,
WL_G1_B5_APLL_002,物理,安培力的方向判断,60,乱码,用右手定则来判断磁场中的安培力方向；把磁感线方向穿出手心而不穿入手心；误认为安培力一定与整个导线平行动画；忽略安培力既垂直B又垂直I的双重约束,"typical_errors 语句不通（""平行动画""疑为""平行""）",,
WL_G1_B5_APLL_017,物理,圆形边界磁场的运动,60,乱码,把轨迹圆与磁场边界圆混淆成一个圆；忽略两圆心连线与半径的三角形几何关系；误判粒子在磁场中运动的圆心角大小；放射性边界外部分仍当作磁场内轨迹处理,"typical_errors 语句不通（""放射性边界""应为""圆形边界""）",,
YY_WY_G1_B1_U1_006,英语,开学新起点主题词汇,62,typical_errors,需表达挑战含义时误把名词 challenge 当成动词变形来用；介绍校园时把 campus 误拼成 campus 类似的错误拼写；表达自信误把 confident 与名词 confidence 的拼写混淆,typical_errors 出现自相矛盾的表述“把 campus 误拼成 campus”，等于没说，且“把名词 challenge 当成动词变形来用”指向不清,,
WL_G1_B4_GX_003,物理,折射率的决定因素,62,typical_errors,误认为入射角增大时介质折射率也随之增大；把折射率当成只由入射角决定的物理量；混淆不同频率光在同一介质折射率相同；用折射角大小直接反推折射率正负方向错判,"typical_errors 概念混乱（""折射率正负方向""不存在）",,
WL_G1_B4_JXB_018,物理,波的传播的多解分析,62,乱码,[仿题]数列波经0.1秒传播了1米加若干波长，求可能波速并说明多解。解析：随n取不同整数给出多组波速答案。,"example 题干有错别字（""数列波""应为""一列波""）",,
WL_G1_B4_JXB_018,物理,波的传播的多解分析,62,example,[仿题]数列波经0.1秒传播了1米加若干波长，求可能波速并说明多解。解析：随n取不同整数给出多组波速答案。,example 解析空泛,,
WL_G1_B3_JDCD_011,物理,电场及其基本性质,65,example,[仿题]试探电荷受力为零处是否一定无电场。解析：受力与电荷量有关，场强为零才是无电场，故其处不一定无电场。,example 解析知识性错误：试探电荷受力为零处场强应为零（E=F/q），解析'不一定无电场'结论错误,,
