id,学科,知识点,置信度,问题描述,定义原文,详解原文,修正后定义,验收结果
ZZ_G1_B3_MZ_004,政治,多党合作和政治协商制度,35,definition 知识性错误：多党合作和政治协商制度是基本政治制度，误写为根本政治制度；且与自身 typical_errors（把多党合作制度误写为根本政治制度，忽略是基本政治制度）自相矛盾（definition 把我国的一项基本政治制度误写成根本政治制度（根本政治制度只有人民代表大会制度），属于主体/制度定位讲错，学生直接看会被误导。）,中国共产党领导的多党合作和政治协商制度是我国的根本政治制度安排之一。,中国共产党领导的多党合作和政治协商制度是我国的基本政治制度。你要掌握：中国共产党是执政党，各民主党派是参政党；基本方针是长期共存、互相监督、肝胆相照、荣辱与共；人民政协是社会主义协商民主的重要渠道和专门协商机构。答题常考这一制度的地位、方针和政协职能。,,
YY_WY_G1_B3_U3_004,英语,含复合宾语的被动语态,40,prerequisites 引用“YY_WY_G1_B3_U4_001”与本条无关：本条在 Unit 3，引用的却是 Unit 4（Amazing Art）的知识点，明显硬凑/错误（prerequisites 引用了不同单元、完全无关的前置知识点）,原句宾语加宾补的结构变成被动时，宾补保留在主语之后的句式。,当主动句是主语加谓语加宾语再加宾语补足语的结构时，变成被动后宾语补足语要保留。make、see、hear、have这些动词接宾补分不带to和带to两种情况，变成被动后原来省略的不定式to要还原，如seesbdo变成beseeentodo。你注意to的还原这个细节，考试最容易在这类题上丢分。,,
YY_WY_G1_B3_U6_001,英语,现在分词表伴随动作,40,example “She left ___ a smile”解析填 with，但知识点讲的是现在分词作伴随状语，答案却是介词 with，与本条知识点完全不符（example 答案与知识点主题严重不符）,用现在分词短语表示与主句动作同时发生的伴随状态或方式的用法。,现在分词作伴随状语，描述主语做主要动作的同时还伴随的另一个动作，比如She sat there reading a book表示她坐着的同时在看书。这类结构主语必须一致，现在分词表示主动进行。判断时要看它和主语是主动还是被动关系，再决定用现在分词还是过去分词。,,
WL_G1_B3_DNNL_018,物理,多用电表欧姆挡原理,40,explanation 知识性错误：'指针越向右电阻越大'说反（右端为零刻度），与同条'电流越大电阻越小'自相矛盾；example 解析错误：'靠右电流小、电阻大，刻度从左到右增大'与欧姆表实际刻度方向相反（欧姆表刻度方向解释与例子均写反，属知识性错误）,欧姆挡内接电池和表头，由电流大小标定被测电阻。,多用电表的欧姆挡是一个简单闭合电路，内部由电池、表头内阻和调零电阻串联组成，表笔短接外部电阻为零时电流最大，指针最右摆，标为欧姆零刻度。你要理解，接上待测电阻R后，回路电流由I=E/(R+R内)决定，因此电流越大说明被测电阻越小，指针偏转就越大，据此在表盘上标出电阻值。正是这层关系决定了欧姆挡刻度左密右疏、指针越向右电阻越大，读数前都要先调零。,,
WL_G1_B5_DCGY_020,物理,导体棒运动的收尾速度,40,"example 含乱码（""Anonym""为未替换占位符）（解析中出现未处理的占位符文字）",导体棒在平衡时达到的恒定终端速度。,导体棒在磁场中受恒力作用时，随速度增大感应电动势与安培力也逐渐增大，当安培力与外力的合力为零时，棒的加速度为零，此后以恒定速度运动，这个速度叫收尾速度。你求收尾速度的方法是：令加速度a=0，写出受力平衡方程，再把安培力与速度关联即可解出。把握好“速度越大安培力越大”这一正反馈关系，你就明白为什么最终会稳定，也能借此快速判断另一类受外力突然变化问题的最终状态。,,
LS_G1_B1_MQ_004,历史,明朝对边疆的治理,45,explanation 将“乌思藏宣慰司”归为明朝西藏机构有误，该机构属元朝；明朝在西藏设的是“乌思藏都司”“朵甘都司”；definition “卫所机机构”多一“机”字，应为“卫所机构”；example 解析沿用错误的“乌思藏宣慰司”，与题目知识点不符（机构名张冠李戴（元朝机构误作明朝），另有错字）,明朝设卫所机机构、册封土司、互市通贡，加强对东北和西藏等边疆的治理。,明朝疆域广大，你要记住它治理边疆的几处重点：东北设奴儿干都司加强管辖；西藏设乌思藏宣慰司等机构；对蒙古则采取分化、互市、筑长城等办法。明政府治理边疆多用册封、设官府、通贡互市的组合拳，跟单纯武力征服不同，你考试时可结合具体事例判断属于哪类措施。总体看明朝对边疆的控制比元朝相对减弱，但仍处统一多民族国家继续发展的阶段。,,
LS_G1_B1_MQ_010,历史,清朝对西藏的管辖,45,explanation “康熙时期册封五世达赖为达赖喇嘛”史实有误，册封五世达赖的是顺治帝（1653年），非康熙；typical_errors “混淆设驻藏大臣与金瓶掣签两个政的帝王阶段”中“两个政”为错字，应为“两个政策/制度”（皇帝张冠李戴（顺治误作康熙））,清朝册封达赖班禅、设置驻藏大臣、实行金瓶掣签，确立对西藏的管辖方式。,你要记住清廷治理西藏的几件标志性做法。康熙时期册封五世达赖为达赖喇嘛，此后历世达赖、班禅须经清政府册封；雍正时正式设立驻藏大臣，代表中央在拉萨督办西藏事务；到乾隆又确立金瓶掣签制度确定转世灵童。你把这套册封与驻藏大臣与金瓶掣签记成一个体系，理解它让中央对西藏的控制越来越直接制度化，这些措施共同说明清廷对西藏行使着现实管辖。,,
YY_WY_G1_B1_U4_010,英语,表达支持与陪伴的动词,45,typical_errors 第3条“鼓励 encourage 后误接 to do 并用错补足结构”是知识性错误：encourage sb to do sth 本来就是正确搭配，把正确用法当成错误（typical_errors 讲错固定搭配，属知识性错误）,描述朋友在困难时给予支持陪伴所用动词的用法。,你想要对方朋友支持与陪伴时可用 support、stand by 支持陪伴、encourage 鼓励、accompany 陪同等动词。比如 he always encourages me 表示他总是鼓励我。表示一直在你身边可说 stay by your side。写朋友间守望相助的表达时说 he offered me great support 更为地道自然。,,
YY_WY_G1_B3_U4_011,英语,艺术评论主观句式,45,typical_errors 第1条“把in my view误写成in my opinion混搭使用”是知识性错误：in my opinion 本身是正确的常用表达，不该当错误（typical_errors 把正确表达当成错误）,用I think、In my view等表达对作品主观评价的常用句型。,"表达个人评价多用I think、In my view、to me这样的介词短语放在句首，后接评价内容。比如In my view, the painting is moving。先给出观点，再用because补充理由，评价更扎实。用in my view这类表达引导，观点和事实分开呈现，评论逻辑就更清晰了。",,
YY_WY_G1_B3_U5_006,英语,过去分词独立成分用法,45,explanation 把“generally speaking”列为过去分词独立成分，但 generally speaking 是现在分词，与“过去分词”主题矛盾（explanation 分词类型归类错误，属知识性错误）,一般说来从句、已固定语块等过去分词作独立解释性成分的惯用法。,有些过去分词短语已成为固定独立成分，不能机械套主语规则，如generally speaking、compared with、given that等。你记这类时先当成整体搭配记牢，尤其compared with表比较、given that表考虑到。做题时若遇到这些固定语块形的分词，优先按固定含义处理而不是死抠被动。,,
